medaka_id,disease_id,disease_source,score
MT337,Orphanet:2075,ordo,0.31000000238418579102
MT337,Orphanet:280,ordo,0.15999999642372131348
MT337,Orphanet:2869,ordo,0.18999999761581420898
MT337,Orphanet:3376,ordo,0.25
MT337,Orphanet:349,ordo,0.25999999046325683594
MT337,Orphanet:818,ordo,0.14000000059604644775
MT337,Orphanet:887,ordo,0.20999999344348907471
MT374,OMIM:106210,omim,0.20000000298023223877
MT374,OMIM:110150,omim,0.46000000834465026855
MT374,OMIM:121050,omim,0.17000000178813934326
MT374,OMIM:129600,omim,1.0
MT374,OMIM:130000,omim,0.15999999642372131348
MT374,OMIM:154700,omim,0.11999999731779098511
MT374,OMIM:218340,omim,0.20999999344348907471
MT374,OMIM:224400,omim,0.20000000298023223877
MT374,OMIM:225100,omim,1.0
MT374,OMIM:225200,omim,0.37000000476837158203
MT374,OMIM:236200,omim,0.18000000715255737305
MT374,OMIM:238700,omim,0.36000001430511474609
MT374,OMIM:251750,omim,0.30000001192092895508
MT374,OMIM:252150,omim,0.15000000596046447754
MT374,OMIM:252160,omim,0.17000000178813934326
MT374,OMIM:271640,omim,0.12999999523162841797
MT374,OMIM:272300,omim,0.18999999761581420898
MT374,OMIM:277600,omim,0.18000000715255737305
MT374,OMIM:305600,omim,0.10999999940395355225
MT374,OMIM:601552,omim,0.18000000715255737305
MT374,OMIM:604308,omim,0.33000001311302185059
MT374,OMIM:604571,omim,0.31999999284744262695
MT374,OMIM:608328,omim,0.14000000059604644775
MT374,OMIM:609192,omim,0.17000000178813934326
MT374,OMIM:610168,omim,0.12999999523162841797
MT374,OMIM:613086,omim,0.5
MT374,OMIM:613195,omim,0.30000001192092895508
MT374,OMIM:613795,omim,0.11999999731779098511
MT374,OMIM:614816,omim,0.15999999642372131348
MT374,OMIM:614819,omim,0.34000000357627868652
MT374,OMIM:616914,omim,0.15999999642372131348
MT374,OMIM:617319,omim,0.25999999046325683594
MT374,Orphanet:1068,ordo,0.5
MT374,Orphanet:115,ordo,0.23000000417232513428
MT374,Orphanet:1259,ordo,0.34999999403953552246
MT374,Orphanet:1571,ordo,0.21999999880790710449
MT374,Orphanet:1885,ordo,0.37999999523162841797
MT374,Orphanet:2084,ordo,0.75
MT374,Orphanet:2092,ordo,0.12999999523162841797
MT374,Orphanet:2325,ordo,0.25999999046325683594
MT374,Orphanet:2712,ordo,0.17000000178813934326
MT374,Orphanet:284979,ordo,0.15999999642372131348
MT374,Orphanet:3449,ordo,0.31999999284744262695
MT374,Orphanet:394,ordo,0.18000000715255737305
MT374,Orphanet:558,ordo,0.12999999523162841797
MT374,Orphanet:560,ordo,0.18999999761581420898
MT374,Orphanet:649,ordo,0.14000000059604644775
MT374,Orphanet:800,ordo,0.10999999940395355225
MT374,Orphanet:828,ordo,0.15000000596046447754
MT374,Orphanet:833,ordo,0.28000000119209289551
