medaka_id,ncbigene_id
MT13,51151
MT144,168507
MT169,79659
MT170,8646
MT20,7545
MT291,7862
MT296,1896
MT312,9871
MT329,4602
MT337,210
MT352,8295
MT374,10413
MT375,8295
MT67,7299
MT7,51151
MT70,7299
MT72,7299
MT80,6660
MT893,7157
MT894,7157
MT914,1586
MT924,157570
MT939,2660
MT97,10913
