s	p	o
http://lod.nbrp/Medaka/MT326	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000004247
http://lod.nbrp/Medaka/MT326	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000004247
http://lod.nbrp/Medaka/MT326	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000004247
http://lod.nbrp/Medaka/MT326	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000004247
http://lod.nbrp/Medaka/MT329	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000016573
http://lod.nbrp/Medaka/MT329	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000016573
http://lod.nbrp/Medaka/MT329	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000016573
http://lod.nbrp/Medaka/MT329	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000016573
http://lod.nbrp/Medaka/MT331	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000012628
http://lod.nbrp/Medaka/MT331	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000012628
http://lod.nbrp/Medaka/MT331	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000012628
http://lod.nbrp/Medaka/MT331	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000012628
http://lod.nbrp/Medaka/MT337	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000013741
http://lod.nbrp/Medaka/MT337	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000013741
http://lod.nbrp/Medaka/MT337	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000013741
http://lod.nbrp/Medaka/MT337	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000013741
http://lod.nbrp/Medaka/MT352	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000003282
http://lod.nbrp/Medaka/MT352	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000003282
http://lod.nbrp/Medaka/MT352	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000003282
http://lod.nbrp/Medaka/MT352	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000003282
http://lod.nbrp/Medaka/MT364	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000020577
http://lod.nbrp/Medaka/MT364	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000020577
http://lod.nbrp/Medaka/MT364	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000020577
http://lod.nbrp/Medaka/MT364	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000020577
