s	p	o
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0003912
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0004286
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0004509
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0006723
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0007203
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0007319
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0007398
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0007399
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0007408
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0007763
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0008316
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0008346
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0008347
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0008352
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0008610
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0008868
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0008910
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0009067
http://lod.nbrp/Medaka/MT296	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0009643
http://lod.nbrp/Medaka/MT312	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000473
http://lod.nbrp/Medaka/MT312	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000606
