s	p	o
http://lod.nbrp/Medaka/MT72	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/601800
http://lod.nbrp/Medaka/MT80	http://purl.obolibrary.org/obo/RO_0003301	http://www.orpha.net/ORDO/Orphanet_530983
http://lod.nbrp/Medaka/MT80	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/604975
http://lod.nbrp/Medaka/MT80	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/616803
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0003301	http://www.orpha.net/ORDO/Orphanet_668
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0003301	http://www.orpha.net/ORDO/Orphanet_150
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0003301	http://www.orpha.net/ORDO/Orphanet_217074
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0003301	http://www.orpha.net/ORDO/Orphanet_227535
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0003301	http://www.orpha.net/ORDO/Orphanet_88673
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/114480
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/607585
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/179617
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/202300
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/260500
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/191170
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0003301	http://purl.bioontology.org/ontology/OMIM/MTHU067730
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0003301	http://purl.bioontology.org/ontology/OMIM/MTHU007778
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/260350
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0003301	http://purl.bioontology.org/ontology/OMIM/MTHU008946
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/114550
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0003301	http://www.orpha.net/ORDO/Orphanet_2807
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/137800
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/607107
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/614740
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/618165
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0003301	http://www.orpha.net/ORDO/Orphanet_466667
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0003301	http://www.orpha.net/ORDO/Orphanet_668
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0003301	http://www.orpha.net/ORDO/Orphanet_150
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0003301	http://www.orpha.net/ORDO/Orphanet_217074
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0003301	http://www.orpha.net/ORDO/Orphanet_227535
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0003301	http://www.orpha.net/ORDO/Orphanet_88673
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/114480
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/607585
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/179617
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/202300
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/260500
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/191170
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0003301	http://purl.bioontology.org/ontology/OMIM/MTHU067730
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0003301	http://purl.bioontology.org/ontology/OMIM/MTHU007778
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/260350
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0003301	http://purl.bioontology.org/ontology/OMIM/MTHU008946
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/114550
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0003301	http://www.orpha.net/ORDO/Orphanet_2807
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/137800
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/607107
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/614740
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/618165
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0003301	http://www.orpha.net/ORDO/Orphanet_466667
http://lod.nbrp/Medaka/MT914	http://purl.obolibrary.org/obo/RO_0003301	http://www.orpha.net/ORDO/Orphanet_90793
http://lod.nbrp/Medaka/MT914	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/202110
http://lod.nbrp/Medaka/MT924	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/268300
http://lod.nbrp/Medaka/MT924	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/609353
http://lod.nbrp/Medaka/MT924	http://purl.obolibrary.org/obo/RO_0003301	http://www.orpha.net/ORDO/Orphanet_2319
http://lod.nbrp/Medaka/MT924	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/216100
http://lod.nbrp/Medaka/MT939	http://purl.obolibrary.org/obo/RO_0003301	http://www.orpha.net/ORDO/Orphanet_275534
http://lod.nbrp/Medaka/MT97	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/129490
http://lod.nbrp/Medaka/MT97	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/224900
http://lod.nbrp/Medaka/MT97	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/604095
http://lod.nbrp/Medaka/MT97	http://purl.obolibrary.org/obo/RO_0003301	http://identifiers.org/mim/612630
