s	p	o
http://lod.nbrp/Medaka/MT291	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:brpf1-204
http://lod.nbrp/Medaka/MT291	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:brpf1-205
http://lod.nbrp/Medaka/MT291	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:brpf1-206
http://lod.nbrp/Medaka/MT291	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/brpf1-201
http://lod.nbrp/Medaka/MT291	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/brpf1-202
http://lod.nbrp/Medaka/MT291	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/brpf1-203
http://lod.nbrp/Medaka/MT291	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/brpf1-204
http://lod.nbrp/Medaka/MT291	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/brpf1-205
http://lod.nbrp/Medaka/MT291	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/brpf1-206
http://lod.nbrp/Medaka/MT296	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:101172419
http://lod.nbrp/Medaka/MT296	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/101172419
http://lod.nbrp/Medaka/MT296	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/101172419
http://lod.nbrp/Medaka/MT312	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:100529193
http://lod.nbrp/Medaka/MT312	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/100529193
http://lod.nbrp/Medaka/MT312	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/100529193
http://lod.nbrp/Medaka/MT312	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/sec24d-201
http://lod.nbrp/Medaka/MT312	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/sec24d-202
http://lod.nbrp/Medaka/MT312	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/sec24d-203
http://lod.nbrp/Medaka/MT312	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:sec24d-201
http://lod.nbrp/Medaka/MT312	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:sec24d-202
http://lod.nbrp/Medaka/MT312	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:sec24d-203
http://lod.nbrp/Medaka/MT312	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/sec24d-201
http://lod.nbrp/Medaka/MT312	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/sec24d-202
http://lod.nbrp/Medaka/MT312	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/sec24d-203
http://lod.nbrp/Medaka/MT326	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:101165476
http://lod.nbrp/Medaka/MT326	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/101165476
http://lod.nbrp/Medaka/MT326	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/101165476
http://lod.nbrp/Medaka/MT326	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/flnc-201
http://lod.nbrp/Medaka/MT326	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/flnc-202
http://lod.nbrp/Medaka/MT326	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/flnc-203
http://lod.nbrp/Medaka/MT326	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/flnc-204
http://lod.nbrp/Medaka/MT326	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/flnc-205
http://lod.nbrp/Medaka/MT326	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:flnc-201
http://lod.nbrp/Medaka/MT326	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:flnc-202
http://lod.nbrp/Medaka/MT326	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:flnc-203
http://lod.nbrp/Medaka/MT326	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:flnc-204
http://lod.nbrp/Medaka/MT326	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:flnc-205
http://lod.nbrp/Medaka/MT326	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/flnc-201
http://lod.nbrp/Medaka/MT326	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/flnc-202
http://lod.nbrp/Medaka/MT326	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/flnc-203
http://lod.nbrp/Medaka/MT326	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/flnc-204
http://lod.nbrp/Medaka/MT326	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/flnc-205
http://lod.nbrp/Medaka/MT329	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:100049253
http://lod.nbrp/Medaka/MT329	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/100049253
http://lod.nbrp/Medaka/MT329	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/100049253
http://lod.nbrp/Medaka/MT329	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/myb-201
http://lod.nbrp/Medaka/MT329	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:myb-201
http://lod.nbrp/Medaka/MT329	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/myb-201
http://lod.nbrp/Medaka/MT331	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:101170630
http://lod.nbrp/Medaka/MT331	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/101170630
http://lod.nbrp/Medaka/MT331	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/101170630
http://lod.nbrp/Medaka/MT337	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:101162461
http://lod.nbrp/Medaka/MT337	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/101162461
http://lod.nbrp/Medaka/MT337	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/101162461
http://lod.nbrp/Medaka/MT352	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/100304461
http://lod.nbrp/Medaka/MT352	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:100304461
http://lod.nbrp/Medaka/MT352	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/100304461
http://lod.nbrp/Medaka/MT352	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/trrap-201
http://lod.nbrp/Medaka/MT352	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/trrap-202
http://lod.nbrp/Medaka/MT352	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:trrap-201
http://lod.nbrp/Medaka/MT352	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:trrap-202
http://lod.nbrp/Medaka/MT352	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/trrap-201
http://lod.nbrp/Medaka/MT352	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/trrap-202
http://lod.nbrp/Medaka/MT364	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/100529198
http://lod.nbrp/Medaka/MT364	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/100529198
http://lod.nbrp/Medaka/MT364	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:100529198
http://lod.nbrp/Medaka/MT364	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/fn1a-201
http://lod.nbrp/Medaka/MT364	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:fn1a-201
http://lod.nbrp/Medaka/MT364	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/fn1a-201
http://lod.nbrp/Medaka/MT374	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:101170776
http://lod.nbrp/Medaka/MT374	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/101170776
http://lod.nbrp/Medaka/MT374	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/101170776
http://lod.nbrp/Medaka/MT375	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/100304461
http://lod.nbrp/Medaka/MT375	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:100304461
http://lod.nbrp/Medaka/MT375	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/100304461
http://lod.nbrp/Medaka/MT375	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/trrap-201
http://lod.nbrp/Medaka/MT375	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/trrap-202
http://lod.nbrp/Medaka/MT375	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:trrap-201
http://lod.nbrp/Medaka/MT375	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:trrap-202
http://lod.nbrp/Medaka/MT375	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/trrap-201
http://lod.nbrp/Medaka/MT375	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/trrap-202
http://lod.nbrp/Medaka/MT436	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/100125447
http://lod.nbrp/Medaka/MT436	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:100125447
http://lod.nbrp/Medaka/MT436	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/100125447
http://lod.nbrp/Medaka/MT436	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/misrii-201
http://lod.nbrp/Medaka/MT436	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:misrii-201
http://lod.nbrp/Medaka/MT436	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/misrii-201
http://lod.nbrp/Medaka/MT443	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:101171710
http://lod.nbrp/Medaka/MT443	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/101171710
http://lod.nbrp/Medaka/MT443	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/101171710
http://lod.nbrp/Medaka/MT65	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:101169887
http://lod.nbrp/Medaka/MT65	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/101169887
http://lod.nbrp/Medaka/MT65	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/101169887
http://lod.nbrp/Medaka/MT65	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/pks1-201
http://lod.nbrp/Medaka/MT65	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:pks1-201
http://lod.nbrp/Medaka/MT65	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/pks1-201
http://lod.nbrp/Medaka/MT67	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:100049427
http://lod.nbrp/Medaka/MT67	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/100049427
http://lod.nbrp/Medaka/MT67	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/100049427
http://lod.nbrp/Medaka/MT67	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/tyr-201
